NOM_COMM,INSEE_COMM,X_COMMUNE,Y_COMMUNE,SUPERFICIE,INSEE_CANT,INSEE_ARR,INSEE_DEPT,INSEE_REG
MAREIL-SUR-LOIR,72185,475371,6739051,1183,14,1,72,52
BOUSSE,72044,470515,6745247,1202,17,1,72,52
LE BAILLEUL,72022,462145,6746131,2746,17,1,72,52
CLERMONT-CREANS,72084,473148,6741278,1782,14,1,72,52
LA FLECHE,72154,470872,6737445,7421,14,1,72,52
VILLAINES-SOUS-MALICORNE,72377,467557,6744178,1916,17,1,72,52
CRE,72108,464444,6733839,1719,14,1,72,52
CROSMIERES,72110,463343,6741281,2045,14,1,72,52
BAZOUGES-SUR-LE-LOIR,72025,461769,6736584,2990,14,1,72,52
LIGRON,72163,474237,6745574,1348,17,1,72,52
