NR;Longitude;Latitude;Type;Nombre;ALTITUDE_sommet_(Hauteur);Balisage
7202;-00°15'06.20147;48°03'05.25076;Pylône;1;912ft (266ft);jour et nuit
7203;-00°03'56;47°43'12;Pylône;1;531ft (236ft);jour et nuit
7204;-00°21'36;47°51'57;Pylône;1;436ft (240ft);jour
7205;00°17'55;47°50'38;Pylône;1;771ft (236ft);jour
7206;00°41'05;48°12'10;Pylône;1;869ft (279ft);jour et nuit
7207;00°08'16;48°01'11;Tour;1;676ft (249ft);jour et nuit
7208;-00°03'43;47°50'10;Château d'eau;1;466ft (240ft);jour et nuit
7209;00°21'56;48°20'46;Silo;1;561ft (167ft);non balisé
7210;00°09'41;48°00'15;Pylône;1;633ft (299ft);jour et nuit
7211;00°33'42;47°51'58;Pylône;1;709ft (197ft);non balisé
7212;00°09'08;48°01'24;Pylône;1;548ft (171ft);non balisé
7214;00°11'28;47°45'27;Pylône;1;338ft (167ft);non balisé
7215;01°01'51;47°58'26;Château d'eau;1;528ft (171ft);non balisé
7216;00°45'34;48°09'17;Pylône;1;951ft (177ft);non balisé
7217;00°20'32;47°43'04;Château d'eau;1;663ft (200ft);non balisé
7218;00°04'32;47°43'36;Château d'eau;1;663ft (315ft);non balisé
7219;00°14'19;48°10'39;Pylône;1;561ft (213ft);non balisé
7220;00°18'00;47°49'25;Cheminée;1;509ft (197ft);non balisé
7221;-00°07'09;47°44'02;Pylône;1;459ft (167ft);non balisé
7222;00°22'42;48°21'33;Château d'eau;1;702ft (190ft);non balisé
7223;00°04'08;47°50'03;Pylône;1;394ft (167ft);non balisé
7224;00°01'15;48°17'20;Château d'eau;1;548ft (180ft);non balisé
7225;00°09'44;48°00'35;Pylône;1;545ft (197ft);non balisé
7226;00°27'30;48°01'27;Château d'eau;1;669ft (174ft);non balisé
7227;00°33'23;47°57'45;Château d'eau;1;761ft (240ft);non balisé
7228;00°10'09;48°11'48;Pylône;1;381ft (171ft);non balisé
7229;00°21'30;47°51'48;Pylône;1;413ft (233ft);non balisé
7230;01°15'57;47°59'49;Château d'eau;1;617ft (184ft);non balisé
7231;00°38'17;47°58'34;Château d'eau;1;767ft (182ft);nuit
7232;00°31'06;47°41'05;Pylône;1;573ft (183ft);non balisé
7233;-00°06'23;48°03'05;Mât;1;532ft (203ft);non balisé
7234;-00°05'25;47°58'36;Mât;1;502ft (214ft);non balisé
7235;00°09'42;48°00'14;Pylône;1;643ft (296ft);jour et nuit
7236;00°06'45;48°22'24;Mât;1;810ft (318ft);nuit
7238;00°39'41;47°47'12;Mât;1;817ft (319ft);jour et nuit
